index,date,time,exit_time,hold_mins,dir,entry,sl,t1,t2,t3,risk_pts,exit_price,outcome,r,score,mss,regime,fvg_size,fvg_top,fvg_bottom,hour,minute,weekday,win,period,month,year,session,symbol,fvg_ratio,stop_loss,target1,target2,target3,rr_t1,rr_t2,rr_t3
BANKNIFTY,2024-06-19,10:15,10:18,3,SHORT,51085.3,51133.4,51013.3,50989.2,50374.6,48.0,50989.2,T2,2.0,12,CHOCH,TRENDING,47.55,0.0,0.0,10,15,2,1,2024-25,2024-06,2024,AM (10-12),,,,,,,,,
NIFTY,2024-06-19,13:06,13:09,3,SHORT,23555.2,23558.7,23548.2,23544.7,23529.2,3.5,23529.2,T3,7.43,14,CHOCH,TRENDING,3.0,0.0,0.0,13,6,2,1,2024-25,2024-06,2024,PM (12-15),,,,,,,,,
BANKNIFTY,2024-06-20,13:57,14:00,3,SHORT,51727.9,51746.8,51699.5,51690.0,51535.4,18.9,51690.0,T2,2.0,15,CHOCH,TRENDING,18.45,0.0,0.0,13,57,3,1,2024-25,2024-06,2024,PM (12-15),,,,,,,,,
NIFTY,2024-06-20,13:54,13:57,3,SHORT,23598.5,23623.3,23548.8,23524.0,23499.1,24.9,23548.8,T1,2.0,18,CHOCH,TRENDING,24.35,0.0,0.0,13,54,3,1,2024-25,2024-06,2024,PM (12-15),,,,,,,,,
NIFTY,2024-06-21,13:54,14:00,6,LONG,23479.2,23444.2,23549.1,23584.0,23619.0,35.0,23549.1,T1,2.0,17,CHOCH,TRENDING,34.45,0.0,0.0,13,54,4,1,2024-25,2024-06,2024,PM (12-15),,,,,,,,,
NIFTY,2024-06-24,12:45,12:48,3,SHORT,23531.0,23533.5,23526.0,23523.5,23494.0,2.5,23523.5,T2,3.0,13,BOS,TRENDING,1.65,0.0,0.0,12,45,0,1,2024-25,2024-06,2024,PM (12-15),,,,,,,,,
BANKNIFTY,2024-06-24,15:12,15:15,3,LONG,51722.4,51719.9,51724.9,51726.2,51780.8,2.5,51726.2,T2,1.5,15,CHOCH,NEUTRAL,0.05,0.0,0.0,15,12,0,1,2024-25,2024-06,2024,PM (12-15),,,,,,,,,
BANKNIFTY,2024-06-25,14:18,14:21,3,SHORT,52614.5,52640.6,52575.4,52562.4,52400.0,26.1,52562.4,T2,2.0,13,CHOCH,TRENDING,25.55,0.0,0.0,14,18,1,1,2024-25,2024-06,2024,PM (12-15),,,,,,,,,
NIFTY,2024-06-25,11:06,11:15,9,SHORT,23608.0,23618.5,23587.2,23576.7,23566.2,10.4,23576.7,T2,3.0,14,CHOCH,TRENDING,9.95,0.0,0.0,11,6,1,1,2024-25,2024-06,2024,AM (10-12),,,,,,,,,
NIFTY,2024-06-26,10:18,10:21,3,LONG,23703.5,23696.0,23714.8,23718.5,23741.4,7.5,23741.4,T3,5.05,15,CHOCH,NEUTRAL,7.0,0.0,0.0,10,18,2,1,2024-25,2024-06,2024,AM (10-12),,,,,,,,,
BANKNIFTY,2024-06-27,14:45,14:48,3,LONG,52920.5,52915.7,52927.8,52930.2,52982.5,4.8,52982.5,T3,12.78,14,BOS,TRENDING,4.35,0.0,0.0,14,45,3,1,2024-25,2024-06,2024,PM (12-15),,,,,,,,,
BANKNIFTY,2024-06-27,12:42,12:45,3,SHORT,53028.1,53037.2,53018.9,53014.4,52948.2,9.1,53014.4,T2,1.5,11,CHOCH,NEUTRAL,8.6,0.0,0.0,12,42,3,1,2024-25,2024-06,2024,PM (12-15),,,,,,,,,
BANKNIFTY,2024-06-27,10:33,10:36,3,SHORT,53069.5,53095.0,53031.2,53018.5,52705.1,25.5,53018.5,T2,2.0,13,CHOCH,TRENDING,25.0,0.0,0.0,10,33,3,1,2024-25,2024-06,2024,AM (10-12),,,,,,,,,
NIFTY,2024-06-27,13:00,13:03,3,SHORT,24004.3,24026.4,23960.2,23938.2,23916.2,22.1,23960.2,T1,2.0,17,CHOCH,TRENDING,21.55,0.0,0.0,13,0,3,1,2024-25,2024-06,2024,PM (12-15),,,,,,,,,
NIFTY,2024-07-01,14:27,14:30,3,SHORT,24211.2,24214.8,24206.0,24204.2,24184.9,3.5,24204.2,T2,2.0,15,CHOCH,NEUTRAL,3.0,0.0,0.0,14,27,0,1,2024-25,2024-07,2024,PM (12-15),,,,,,,,,
BANKNIFTY,2024-07-02,15:03,15:06,3,SHORT,52388.5,52398.1,52378.9,52374.1,52341.4,9.6,52374.1,T2,1.5,14,CHOCH,NEUTRAL,9.1,0.0,0.0,15,3,1,1,2024-25,2024-07,2024,PM (12-15),,,,,,,,,
NIFTY,2024-07-02,15:03,15:06,3,SHORT,24209.1,24214.2,24198.9,24193.8,24164.5,5.1,24193.8,T2,3.0,14,CHOCH,TRENDING,4.6,0.0,0.0,15,3,1,1,2024-25,2024-07,2024,PM (12-15),,,,,,,,,
NIFTY,2024-07-02,13:57,14:00,3,LONG,24175.5,24168.0,24186.8,24190.5,24202.0,7.5,24190.5,T2,2.0,15,CHOCH,NEUTRAL,7.0,0.0,0.0,13,57,1,1,2024-25,2024-07,2024,PM (12-15),,,,,,,,,
NIFTY,2024-07-02,13:21,13:24,3,LONG,24166.5,24164.0,24171.5,24174.0,24233.8,2.5,24174.0,T2,3.0,14,CHOCH,TRENDING,0.25,0.0,0.0,13,21,1,1,2024-25,2024-07,2024,PM (12-15),,,,,,,,,
NIFTY,2024-07-02,11:39,11:42,3,SHORT,24264.5,24273.2,24247.2,24238.5,24210.0,8.7,24238.5,T2,3.0,14,CHOCH,TRENDING,8.15,0.0,0.0,11,39,1,1,2024-25,2024-07,2024,AM (10-12),,,,,,,,,
NIFTY,2024-07-04,14:48,14:57,9,LONG,24369.2,24360.3,24382.7,24387.2,24402.2,8.9,24360.3,SL,-1.0,14,BOS,NEUTRAL,8.45,0.0,0.0,14,48,3,0,2024-25,2024-07,2024,PM (12-15),,,,,,,,,
NIFTY,2024-07-04,13:27,13:30,3,SHORT,24393.9,24396.4,24388.9,24386.4,24383.9,2.5,24383.9,T3,4.0,17,CHOCH,TRENDING,0.6,0.0,0.0,13,27,3,1,2024-25,2024-07,2024,PM (12-15),,,,,,,,,
NIFTY,2024-07-04,14:09,14:12,3,LONG,24369.2,24360.3,24387.2,24396.1,24405.0,8.9,24387.2,T1,2.0,15,BOS,TRENDING,8.45,0.0,0.0,14,9,3,1,2024-25,2024-07,2024,PM (12-15),,,,,,,,,
BANKNIFTY,2024-07-04,12:48,12:51,3,LONG,53011.4,53002.0,53020.8,53025.5,53044.8,9.4,53044.8,T3,3.55,10,BOS,NEUTRAL,8.9,0.0,0.0,12,48,3,1,2024-25,2024-07,2024,PM (12-15),,,,,,,,,
NIFTY,2024-07-05,15:03,15:06,3,LONG,24292.2,24247.2,24382.2,24427.2,24472.2,45.0,24382.2,T1,2.0,17,CHOCH,TRENDING,44.5,0.0,0.0,15,3,4,1,2024-25,2024-07,2024,PM (12-15),,,,,,,,,
NIFTY,2024-07-05,13:39,13:42,3,SHORT,24347.5,24350.0,24342.5,24340.0,24337.0,2.5,24337.0,T3,4.23,13,BOS,TRENDING,1.0,0.0,0.0,13,39,4,1,2024-25,2024-07,2024,PM (12-15),,,,,,,,,
NIFTY,2024-07-05,13:00,13:06,6,SHORT,24351.5,24354.2,24346.2,24343.5,24337.0,2.7,24343.5,T2,3.0,13,BOS,TRENDING,2.2,0.0,0.0,13,0,4,1,2024-25,2024-07,2024,PM (12-15),,,,,,,,,
BANKNIFTY,2024-07-10,12:54,12:57,3,LONG,52260.5,52247.0,52274.0,52280.8,52290.8,13.5,52280.8,T2,1.5,11,CHOCH,NEUTRAL,13.0,0.0,0.0,12,54,2,1,2024-25,2024-07,2024,PM (12-15),,,,,,,,,
NIFTY,2024-07-10,13:42,13:45,3,SHORT,24311.6,24314.2,24307.7,24306.4,24300.5,2.6,24306.4,T2,2.0,15,CHOCH,NEUTRAL,2.1,0.0,0.0,13,42,2,1,2024-25,2024-07,2024,PM (12-15),,,,,,,,,
NIFTY,2024-07-10,12:03,12:54,51,LONG,24285.4,24261.8,24332.6,24356.2,24379.8,23.6,24332.6,T1,2.0,12,BOS,TRENDING,23.1,0.0,0.0,12,3,2,1,2024-25,2024-07,2024,PM (12-15),,,,,,,,,
NIFTY,2024-07-11,10:15,10:24,9,SHORT,24379.8,24428.8,24281.8,24232.8,24183.8,49.0,24281.8,T1,2.0,15,CHOCH,TRENDING,48.5,0.0,0.0,10,15,3,1,2024-25,2024-07,2024,AM (10-12),,,,,,,,,
BANKNIFTY,2024-07-12,14:21,14:24,3,SHORT,52639.5,52648.2,52630.8,52626.4,52552.8,8.8,52626.4,T2,1.5,15,CHOCH,NEUTRAL,8.25,0.0,0.0,14,21,4,1,2024-25,2024-07,2024,PM (12-15),,,,,,,,,
NIFTY,2024-07-15,11:57,12:00,3,SHORT,24614.5,24621.0,24601.5,24595.0,24588.5,6.5,24601.5,T1,2.0,17,CHOCH,TRENDING,6.0,0.0,0.0,11,57,0,1,2024-25,2024-07,2024,AM (10-12),,,,,,,,,
BANKNIFTY,2024-07-15,14:12,14:15,3,SHORT,52652.1,52659.9,52640.3,52636.3,52602.0,7.8,52636.3,T2,2.0,9,CHOCH,TRENDING,7.35,0.0,0.0,14,12,0,1,2024-25,2024-07,2024,PM (12-15),,,,,,,,,
NIFTY,2024-07-16,11:54,11:57,3,SHORT,24674.5,24677.0,24669.5,24667.0,24664.5,2.5,24664.5,T3,4.0,14,CHOCH,TRENDING,0.6,0.0,0.0,11,54,1,1,2024-25,2024-07,2024,AM (10-12),,,,,,,,,
NIFTY,2024-07-18,12:09,12:12,3,LONG,24570.5,24568.0,24575.5,24578.0,24580.8,2.5,24580.8,T3,4.14,13,CHOCH,TRENDING,0.05,0.0,0.0,12,9,3,1,2024-25,2024-07,2024,PM (12-15),,,,,,,,,
BANKNIFTY,2024-07-18,15:03,15:06,3,SHORT,52731.1,52755.4,52694.6,52682.4,52658.1,24.4,52682.4,T2,2.0,13,CHOCH,TRENDING,23.85,0.0,0.0,15,3,3,1,2024-25,2024-07,2024,PM (12-15),,,,,,,,,
BANKNIFTY,2024-07-19,13:24,13:27,3,LONG,52252.2,52224.2,52294.2,52308.2,52375.9,28.0,52308.2,T2,2.0,12,BOS,TRENDING,27.5,0.0,0.0,13,24,4,1,2024-25,2024-07,2024,PM (12-15),,,,,,,,,
BANKNIFTY,2024-07-19,11:30,11:33,3,LONG,52281.6,52251.7,52326.4,52341.4,52494.0,29.9,52341.4,T2,2.0,13,CHOCH,TRENDING,29.4,0.0,0.0,11,30,4,1,2024-25,2024-07,2024,AM (10-12),,,,,,,,,
BANKNIFTY,2024-07-19,12:03,12:06,3,LONG,52281.6,52251.7,52311.5,52326.4,52376.8,29.9,52326.4,T2,1.5,13,CHOCH,NEUTRAL,29.4,0.0,0.0,12,3,4,1,2024-25,2024-07,2024,PM (12-15),,,,,,,,,
BANKNIFTY,2024-07-22,14:00,14:03,3,SHORT,52314.5,52340.0,52276.2,52263.5,52238.0,25.5,52276.2,T1,1.5,11,CHOCH,TRENDING,25.0,0.0,0.0,14,0,0,1,2024-25,2024-07,2024,PM (12-15),,,,,,,,,
BANKNIFTY,2024-07-22,12:45,12:48,3,LONG,52207.9,52170.8,52263.5,52282.0,52348.2,37.0,52263.5,T1,1.5,12,BOS,TRENDING,36.55,0.0,0.0,12,45,0,1,2024-25,2024-07,2024,PM (12-15),,,,,,,,,
BANKNIFTY,2024-07-22,10:54,10:57,3,SHORT,52375.0,52380.8,52366.2,52363.3,52318.1,5.8,52363.3,T2,2.0,11,CHOCH,TRENDING,5.35,0.0,0.0,10,54,0,1,2024-25,2024-07,2024,AM (10-12),,,,,,,,,
NIFTY,2024-07-22,11:24,11:27,3,SHORT,24555.0,24562.4,24540.3,24533.0,24518.0,7.3,24533.0,T2,3.0,14,CHOCH,TRENDING,6.85,0.0,0.0,11,24,0,1,2024-25,2024-07,2024,AM (10-12),,,,,,,,,
NIFTY,2024-07-22,13:24,13:27,3,LONG,24508.7,24506.2,24513.7,24516.2,24565.0,2.5,24516.2,T2,3.0,16,CHOCH,TRENDING,1.85,0.0,0.0,13,24,0,1,2024-25,2024-07,2024,PM (12-15),,,,,,,,,
BANKNIFTY,2024-07-23,14:27,14:30,3,LONG,51690.5,51659.7,51721.3,51736.8,51949.0,30.9,51736.8,T2,1.5,11,CHOCH,NEUTRAL,30.35,0.0,0.0,14,27,1,1,2024-25,2024-07,2024,PM (12-15),,,,,,,,,
BANKNIFTY,2024-07-23,13:54,13:57,3,LONG,51690.5,51659.7,51721.3,51736.8,52045.0,30.9,51736.8,T2,1.5,13,CHOCH,NEUTRAL,30.35,0.0,0.0,13,54,1,1,2024-25,2024-07,2024,PM (12-15),,,,,,,,,
NIFTY,2024-07-24,13:39,13:42,3,LONG,24311.0,24307.9,24315.7,24317.2,24333.6,3.1,24333.6,T3,7.3,11,CHOCH,NEUTRAL,2.6,0.0,0.0,13,39,2,1,2024-25,2024-07,2024,PM (12-15),,,,,,,,,
BANKNIFTY,2024-07-24,13:15,13:18,3,LONG,51130.5,51114.7,51154.2,51162.1,51297.0,15.8,51162.1,T2,2.0,14,CHOCH,TRENDING,15.3,0.0,0.0,13,15,2,1,2024-25,2024-07,2024,PM (12-15),,,,,,,,,
BANKNIFTY,2024-07-25,11:24,11:27,3,LONG,50792.8,50775.7,50809.8,50818.3,50993.8,17.1,50818.3,T2,1.5,10,BOS,NEUTRAL,16.55,0.0,0.0,11,24,3,1,2024-25,2024-07,2024,AM (10-12),,,,,,,,,
NIFTY,2024-07-29,14:30,14:33,3,LONG,24875.5,24859.7,24907.1,24922.9,24963.1,15.8,24922.9,T2,3.0,16,CHOCH,TRENDING,15.3,0.0,0.0,14,30,0,1,2024-25,2024-07,2024,PM (12-15),,,,,,,,,
BANKNIFTY,2024-07-29,14:33,14:36,3,LONG,51450.3,51435.8,51472.1,51479.4,51671.9,14.6,51435.8,SL,-1.0,13,CHOCH,TRENDING,14.05,0.0,0.0,14,33,0,0,2024-25,2024-07,2024,PM (12-15),,,,,,,,,
NIFTY,2024-07-29,12:12,12:15,3,SHORT,25014.8,25028.5,24987.2,24973.5,24926.2,13.8,24973.5,T2,3.0,15,BOS,TRENDING,13.25,0.0,0.0,12,12,0,1,2024-25,2024-07,2024,PM (12-15),,,,,,,,,
NIFTY,2024-07-30,12:15,12:21,6,SHORT,24985.0,24993.0,24969.1,24961.2,24953.2,8.0,24993.0,SL,-1.0,11,CHOCH,TRENDING,7.45,0.0,0.0,12,15,1,0,2024-25,2024-07,2024,PM (12-15),,,,,,,,,
NIFTY,2024-07-31,13:48,13:51,3,SHORT,24994.8,24997.2,24991.0,24989.8,24972.4,2.5,24989.8,T2,2.0,15,CHOCH,NEUTRAL,0.6,0.0,0.0,13,48,2,1,2024-25,2024-07,2024,PM (12-15),,,,,,,,,
BANKNIFTY,2024-07-31,10:33,10:36,3,LONG,51540.9,51516.0,51565.8,51578.2,51657.0,24.9,51578.2,T2,1.5,10,BOS,NEUTRAL,24.4,0.0,0.0,10,33,2,1,2024-25,2024-07,2024,AM (10-12),,,,,,,,,
NIFTY,2024-08-01,14:42,15:09,27,LONG,25002.5,24986.5,25034.5,25050.5,25066.5,16.0,25034.5,T1,2.0,16,CHOCH,TRENDING,15.5,0.0,0.0,14,42,3,1,2024-25,2024-08,2024,PM (12-15),,,,,,,,,
BANKNIFTY,2024-08-01,13:03,13:06,3,LONG,51819.2,51807.2,51837.1,51843.1,51982.4,11.9,51843.1,T2,2.0,15,CHOCH,TRENDING,11.45,0.0,0.0,13,3,3,1,2024-25,2024-08,2024,PM (12-15),,,,,,,,,
BANKNIFTY,2024-08-01,11:45,11:48,3,SHORT,51932.9,51939.7,51922.9,51919.6,51872.8,6.7,51919.6,T2,2.0,12,CHOCH,TRENDING,6.2,0.0,0.0,11,45,3,1,2024-25,2024-08,2024,AM (10-12),,,,,,,,,
BANKNIFTY,2024-08-01,10:51,10:54,3,SHORT,51937.5,51959.9,51915.1,51903.9,51877.4,22.4,51877.4,T3,2.68,11,BOS,NEUTRAL,21.9,0.0,0.0,10,51,3,1,2024-25,2024-08,2024,AM (10-12),,,,,,,,,
BANKNIFTY,2024-08-02,14:27,14:30,3,SHORT,51669.8,51693.0,51635.0,51623.4,51546.1,23.2,51623.4,T2,2.0,11,CHOCH,TRENDING,22.7,0.0,0.0,14,27,4,1,2024-25,2024-08,2024,PM (12-15),,,,,,,,,
NIFTY,2024-08-02,13:39,13:42,3,LONG,24795.5,24781.9,24822.7,24836.3,24863.4,13.6,24822.7,T1,2.0,16,BOS,TRENDING,13.1,0.0,0.0,13,39,4,1,2024-25,2024-08,2024,PM (12-15),,,,,,,,,
BANKNIFTY,2024-08-02,12:03,12:06,3,SHORT,51639.5,51649.4,51624.6,51619.6,51578.8,9.9,51619.6,T2,2.0,13,CHOCH,TRENDING,9.45,0.0,0.0,12,3,4,1,2024-25,2024-08,2024,PM (12-15),,,,,,,,,
NIFTY,2024-08-05,13:24,13:27,3,LONG,24039.5,24016.8,24084.8,24107.5,24130.1,22.6,24084.8,T1,2.0,15,CHOCH,TRENDING,22.15,0.0,0.0,13,24,0,1,2024-25,2024-08,2024,PM (12-15),,,,,,,,,
BANKNIFTY,2024-08-05,13:24,13:27,3,LONG,50100.8,50058.2,50164.6,50185.9,50320.2,42.5,50185.9,T2,2.0,13,CHOCH,TRENDING,42.05,0.0,0.0,13,24,0,1,2024-25,2024-08,2024,PM (12-15),,,,,,,,,
BANKNIFTY,2024-08-07,12:21,12:24,3,LONG,50095.5,50070.0,50121.0,50133.8,50154.4,25.5,50154.4,T3,2.31,12,BOS,NEUTRAL,25.0,0.0,0.0,12,21,2,1,2024-25,2024-08,2024,PM (12-15),,,,,,,,,
BANKNIFTY,2024-08-07,14:09,14:12,3,LONG,50089.9,50087.4,50092.4,50093.7,50117.6,2.5,50117.6,T3,11.09,13,CHOCH,NEUTRAL,1.3,0.0,0.0,14,9,2,1,2024-25,2024-08,2024,PM (12-15),,,,,,,,,
NIFTY,2024-08-07,12:27,12:51,24,LONG,24279.0,24254.8,24327.2,24351.4,24375.5,24.1,24254.8,SL,-1.0,15,CHOCH,TRENDING,23.65,0.0,0.0,12,27,2,0,2024-25,2024-08,2024,PM (12-15),,,,,,,,,
